State,Soil Type,Previous Crop,Fertilizer Used,Water Hardness,Livestock,Resources,Temperature,Rainfall,Recommend Crop,Required Water,Required Fertilizer,Crop Protection Tip,Limited Resources Tip,Predicted Disease,Disease Prevention Tip
Andhra Pradesh,Clay,Cotton,Urea,Hard,Goats,Cultivator,40,3,Maize,1800,NPK: 200 kg/ha,Fence fields to keep goats away,Practice intercropping,Red rot in sugarcane,Apply fungicides
Andhra Pradesh,Red Sandy,Mango,Compost,Hard,Goats,Combine,34,2,Maize,1800,NPK: 200 kg/ha,Use organic pesticides,Use organic compost,Anthracnose in mango,Use resistant varieties
Andhra Pradesh,Sandy,Pulses,Compost,Hard,Goats,Sprayer,32,1,Cotton,2000,DAP: 150 kg/ha,Use organic pesticides,Use organic compost,Anthracnose in mango,Use organic pest control
Andhra Pradesh,Red Sandy,Tobacco,NPK,Soft,Poultry,Thrasher,22,3,Pulses,1000,DAP: 100 kg/ha,Rotate crops to prevent soil depletion,Use manual weeding,Root rot in groundnut,Use organic pest control
Andhra Pradesh,Sandy,Mango,Compost,Soft,Goats,Seed Drill,32,2,Rice,5000,Urea: 100 kg/ha,Use netting to deter birds,Practice intercropping,Blast in rice,Ensure proper drainage
Andhra Pradesh,Sandy,Rice,NPK,Hard,Goats,Rotavator,29,2,Sugarcane,4000,NPK: 250 kg/ha,Fence fields to keep goats away,Use organic compost,Root rot in groundnut,Apply fungicides
Andhra Pradesh,Sandy,Cotton,NPK,Hard,None,None,32,1,Banana,3000,Urea: 80 kg/ha,Use organic pesticides,Collect rainwater for irrigation,Anthracnose in mango,Ensure proper drainage
Andhra Pradesh,Black Cotton,Mango,DAP,Soft,Goats,Sprayer,29,3,Tobacco,2500,Urea: 120 kg/ha,Use organic pesticides,Use manual weeding,Red rot in sugarcane,Ensure proper drainage
Andhra Pradesh,Red Sandy,Groundnut,DAP,Soft,None,Sprayer,20,3,Tobacco,2500,Urea: 120 kg/ha,Rotate crops to prevent soil depletion,Practice intercropping,Red rot in sugarcane,Ensure proper drainage
Andhra Pradesh,Clay,Pulses,Urea,Soft,Goats,None,22,3,Chili,1600,NPK: 180 kg/ha,Use netting to deter birds,Collect rainwater for irrigation,Root rot in groundnut,Use organic pest control
